district,fiscal_year,year,month,date,remittance_musd,source_pdf
Moulvibazar,FY2024-25,2025,2,2025-02,44.98,report_june2025.pdf
Munshiganj,FY2024-25,2025,2,2025-02,46.98,report_june2025.pdf
Mymensingh,FY2024-25,2025,2,2025-02,30.06,report_june2025.pdf
Naogaon,FY2024-25,2025,2,2025-02,8.05,report_june2025.pdf
Narail,FY2024-25,2025,2,2025-02,6.11,report_june2025.pdf
Narayanganj,FY2024-25,2025,2,2025-02,34.96,report_june2025.pdf
Narsingdi,FY2024-25,2025,2,2025-02,40.68,report_june2025.pdf
Natore,FY2024-25,2025,2,2025-02,7.1,report_june2025.pdf
Netrokona,FY2024-25,2025,2,2025-02,6.12,report_june2025.pdf
Nilphamari,FY2024-25,2025,2,2025-02,4.0,report_june2025.pdf
Noakhali,FY2024-25,2025,2,2025-02,82.46,report_june2025.pdf
Pabna,FY2024-25,2025,2,2025-02,14.12,report_june2025.pdf
Panchagarh,FY2024-25,2025,2,2025-02,3.52,report_june2025.pdf
Patuakhali,FY2024-25,2025,2,2025-02,8.25,report_june2025.pdf
Pirojpur,FY2024-25,2025,2,2025-02,11.56,report_june2025.pdf
Rajbari,FY2024-25,2025,2,2025-02,11.26,report_june2025.pdf
Rajshahi,FY2024-25,2025,2,2025-02,9.12,report_june2025.pdf
Rangamati,FY2024-25,2025,2,2025-02,2.17,report_june2025.pdf
Rangpur,FY2024-25,2025,2,2025-02,15.28,report_june2025.pdf
Satkhira,FY2024-25,2025,2,2025-02,8.29,report_june2025.pdf
Shariatpur,FY2024-25,2025,2,2025-02,25.86,report_june2025.pdf
Sherpur,FY2024-25,2025,2,2025-02,3.8,report_june2025.pdf
Sirajganj,FY2024-25,2025,2,2025-02,8.8,report_june2025.pdf
Sunamganj,FY2024-25,2025,2,2025-02,28.82,report_june2025.pdf
Sylhet,FY2024-25,2025,2,2025-02,103.98,report_june2025.pdf
Tangail,FY2024-25,2025,2,2025-02,57.07,report_june2025.pdf
Thakurgaon,FY2024-25,2025,2,2025-02,3.61,report_june2025.pdf
Bagerhat,FY2024-25,2025,3,2025-03,9.83,report_june2025.pdf
Bandarban,FY2024-25,2025,3,2025-03,4.09,report_june2025.pdf
Barguna,FY2024-25,2025,3,2025-03,8.9,report_june2025.pdf
Barisal,FY2024-25,2025,3,2025-03,38.58,report_june2025.pdf
Bhola,FY2024-25,2025,3,2025-03,15.57,report_june2025.pdf
Bogura,FY2024-25,2025,3,2025-03,20.43,report_june2025.pdf
Brahmanbaria,FY2024-25,2025,3,2025-03,87.99,report_june2025.pdf
Chandpur,FY2024-25,2025,3,2025-03,95.12,report_june2025.pdf
Chapainawabganj,FY2024-25,2025,3,2025-03,13.63,report_june2025.pdf
Chattogram,FY2024-25,2025,3,2025-03,313.16,report_june2025.pdf
Chuadanga,FY2024-25,2025,3,2025-03,10.55,report_june2025.pdf
Comilla,FY2024-25,2025,3,2025-03,168.99,report_june2025.pdf
Coxsbazar,FY2024-25,2025,3,2025-03,22.27,report_june2025.pdf
Dhaka,FY2024-25,2025,3,2025-03,1108.54,report_june2025.pdf
Dinajpur,FY2024-25,2025,3,2025-03,6.99,report_june2025.pdf
Faridpur,FY2024-25,2025,3,2025-03,36.69,report_june2025.pdf
Feni,FY2024-25,2025,3,2025-03,101.05,report_june2025.pdf
Gaibandha,FY2024-25,2025,3,2025-03,6.64,report_june2025.pdf
Gazipur,FY2024-25,2025,3,2025-03,45.75,report_june2025.pdf
Gopalganj,FY2024-25,2025,3,2025-03,15.38,report_june2025.pdf
Habiganj,FY2024-25,2025,3,2025-03,42.21,report_june2025.pdf
Jamalpur,FY2024-25,2025,3,2025-03,17.5,report_june2025.pdf
Jashore,FY2024-25,2025,3,2025-03,22.04,report_june2025.pdf
Jhalokati,FY2024-25,2025,3,2025-03,9.13,report_june2025.pdf
Jhenaidah,FY2024-25,2025,3,2025-03,12.74,report_june2025.pdf
Joypurhat,FY2024-25,2025,3,2025-03,3.82,report_june2025.pdf
Khagrachhari,FY2024-25,2025,3,2025-03,5.41,report_june2025.pdf
Khulna,FY2024-25,2025,3,2025-03,19.97,report_june2025.pdf
Kishoreganj,FY2024-25,2025,3,2025-03,55.65,report_june2025.pdf
Kurigram,FY2024-25,2025,3,2025-03,5.85,report_june2025.pdf
Kushtia,FY2024-25,2025,3,2025-03,22.25,report_june2025.pdf
Lakshmipur,FY2024-25,2025,3,2025-03,51.72,report_june2025.pdf
Lalmonirhat,FY2024-25,2025,3,2025-03,3.92,report_june2025.pdf
Madaripur,FY2024-25,2025,3,2025-03,47.89,report_june2025.pdf
Magura,FY2024-25,2025,3,2025-03,6.97,report_june2025.pdf
Manikganj,FY2024-25,2025,3,2025-03,26.82,report_june2025.pdf
Meherpur,FY2024-25,2025,3,2025-03,11.1,report_june2025.pdf
Moulvibazar,FY2024-25,2025,3,2025-03,58.75,report_june2025.pdf
Munshiganj,FY2024-25,2025,3,2025-03,51.49,report_june2025.pdf
Mymensingh,FY2024-25,2025,3,2025-03,35.21,report_june2025.pdf
Naogaon,FY2024-25,2025,3,2025-03,10.55,report_june2025.pdf
Narail,FY2024-25,2025,3,2025-03,6.03,report_june2025.pdf
Narayanganj,FY2024-25,2025,3,2025-03,50.34,report_june2025.pdf
Narsingdi,FY2024-25,2025,3,2025-03,55.95,report_june2025.pdf
Natore,FY2024-25,2025,3,2025-03,7.92,report_june2025.pdf
Netrokona,FY2024-25,2025,3,2025-03,7.73,report_june2025.pdf
Nilphamari,FY2024-25,2025,3,2025-03,4.35,report_june2025.pdf
Noakhali,FY2024-25,2025,3,2025-03,98.04,report_june2025.pdf
Pabna,FY2024-25,2025,3,2025-03,16.34,report_june2025.pdf
Panchagarh,FY2024-25,2025,3,2025-03,4.05,report_june2025.pdf
Patuakhali,FY2024-25,2025,3,2025-03,9.76,report_june2025.pdf
Pirojpur,FY2024-25,2025,3,2025-03,13.63,report_june2025.pdf
Rajbari,FY2024-25,2025,3,2025-03,15.78,report_june2025.pdf
Rajshahi,FY2024-25,2025,3,2025-03,12.38,report_june2025.pdf
Rangamati,FY2024-25,2025,3,2025-03,2.61,report_june2025.pdf
Rangpur,FY2024-25,2025,3,2025-03,13.47,report_june2025.pdf
Satkhira,FY2024-25,2025,3,2025-03,11.75,report_june2025.pdf
Shariatpur,FY2024-25,2025,3,2025-03,35.99,report_june2025.pdf
Sherpur,FY2024-25,2025,3,2025-03,4.06,report_june2025.pdf
Sirajganj,FY2024-25,2025,3,2025-03,11.84,report_june2025.pdf
Sunamganj,FY2024-25,2025,3,2025-03,40.37,report_june2025.pdf
Sylhet,FY2024-25,2025,3,2025-03,157.34,report_june2025.pdf
Tangail,FY2024-25,2025,3,2025-03,61.64,report_june2025.pdf
Thakurgaon,FY2024-25,2025,3,2025-03,3.12,report_june2025.pdf
Bagerhat,FY2024-25,2025,4,2025-04,9.24,report_june2025.pdf
Bandarban,FY2024-25,2025,4,2025-04,2.74,report_june2025.pdf
Barguna,FY2024-25,2025,4,2025-04,8.3,report_june2025.pdf
Barisal,FY2024-25,2025,4,2025-04,33.98,report_june2025.pdf
Bhola,FY2024-25,2025,4,2025-04,12.53,report_june2025.pdf
Bogura,FY2024-25,2025,4,2025-04,20.2,report_june2025.pdf
Brahmanbaria,FY2024-25,2025,4,2025-04,78.31,report_june2025.pdf
Chandpur,FY2024-25,2025,4,2025-04,73.66,report_june2025.pdf
Chapainawabganj,FY2024-25,2025,4,2025-04,11.93,report_june2025.pdf
Chattogram,FY2024-25,2025,4,2025-04,210.4,report_june2025.pdf
Chuadanga,FY2024-25,2025,4,2025-04,12.1,report_june2025.pdf
Comilla,FY2024-25,2025,4,2025-04,137.95,report_june2025.pdf
Coxsbazar,FY2024-25,2025,4,2025-04,18.65,report_june2025.pdf
Dhaka,FY2024-25,2025,4,2025-04,901.13,report_june2025.pdf
Dinajpur,FY2024-25,2025,4,2025-04,7.15,report_june2025.pdf
Faridpur,FY2024-25,2025,4,2025-04,33.79,report_june2025.pdf
Feni,FY2024-25,2025,4,2025-04,83.87,report_june2025.pdf
Gaibandha,FY2024-25,2025,4,2025-04,7.85,report_june2025.pdf
Gazipur,FY2024-25,2025,4,2025-04,44.57,report_june2025.pdf
Gopalganj,FY2024-25,2025,4,2025-04,15.3,report_june2025.pdf
Habiganj,FY2024-25,2025,4,2025-04,36.84,report_june2025.pdf
Jamalpur,FY2024-25,2025,4,2025-04,16.34,report_june2025.pdf
Jashore,FY2024-25,2025,4,2025-04,24.49,report_june2025.pdf
Jhalokati,FY2024-25,2025,4,2025-04,6.79,report_june2025.pdf
Jhenaidah,FY2024-25,2025,4,2025-04,14.36,report_june2025.pdf
Joypurhat,FY2024-25,2025,4,2025-04,3.92,report_june2025.pdf
Khagrachhari,FY2024-25,2025,4,2025-04,4.36,report_june2025.pdf
Khulna,FY2024-25,2025,4,2025-04,15.62,report_june2025.pdf
Kishoreganj,FY2024-25,2025,4,2025-04,47.0,report_june2025.pdf
Kurigram,FY2024-25,2025,4,2025-04,4.29,report_june2025.pdf
Kushtia,FY2024-25,2025,4,2025-04,22.11,report_june2025.pdf
Lakshmipur,FY2024-25,2025,4,2025-04,45.39,report_june2025.pdf
Lalmonirhat,FY2024-25,2025,4,2025-04,2.57,report_june2025.pdf
Madaripur,FY2024-25,2025,4,2025-04,37.62,report_june2025.pdf
Magura,FY2024-25,2025,4,2025-04,5.24,report_june2025.pdf
Manikganj,FY2024-25,2025,4,2025-04,32.55,report_june2025.pdf
Meherpur,FY2024-25,2025,4,2025-04,10.79,report_june2025.pdf
Moulvibazar,FY2024-25,2025,4,2025-04,49.31,report_june2025.pdf
Munshiganj,FY2024-25,2025,4,2025-04,48.67,report_june2025.pdf
Mymensingh,FY2024-25,2025,4,2025-04,34.3,report_june2025.pdf
Naogaon,FY2024-25,2025,4,2025-04,12.16,report_june2025.pdf
Narail,FY2024-25,2025,4,2025-04,5.51,report_june2025.pdf
Narayanganj,FY2024-25,2025,4,2025-04,41.54,report_june2025.pdf
Narsingdi,FY2024-25,2025,4,2025-04,51.76,report_june2025.pdf
Natore,FY2024-25,2025,4,2025-04,7.96,report_june2025.pdf
Netrokona,FY2024-25,2025,4,2025-04,7.38,report_june2025.pdf
