district,fiscal_year,remittance_musd,source_pdf
Chapainawabganj,FY2020-21,93.6,report_june2025.pdf
Chattogram,FY2020-21,1392.8,report_june2025.pdf
Chuadanga,FY2020-21,97.8,report_june2025.pdf
Comilla,FY2020-21,1394.8,report_june2025.pdf
Coxsbazar,FY2020-21,198.1,report_june2025.pdf
Dhaka,FY2020-21,8021.6,report_june2025.pdf
Dinajpur,FY2020-21,312.2,report_june2025.pdf
Faridpur,FY2020-21,317.3,report_june2025.pdf
Feni,FY2020-21,576.6,report_june2025.pdf
Gaibandha,FY2020-21,97.7,report_june2025.pdf
Gazipur,FY2020-21,445.1,report_june2025.pdf
Gopalganj,FY2020-21,115.6,report_june2025.pdf
Habiganj,FY2020-21,309.1,report_june2025.pdf
Jamalpur,FY2020-21,167.8,report_june2025.pdf
Jashore,FY2020-21,235.7,report_june2025.pdf
Jhalokati,FY2020-21,52.7,report_june2025.pdf
Jhenaidah,FY2020-21,110.4,report_june2025.pdf
Joypurhat,FY2020-21,41.5,report_june2025.pdf
Khagrachhari,FY2020-21,29.4,report_june2025.pdf
Khulna,FY2020-21,174.6,report_june2025.pdf
Kishoreganj,FY2020-21,342.6,report_june2025.pdf
Kurigram,FY2020-21,37.1,report_june2025.pdf
Kushtia,FY2020-21,182.4,report_june2025.pdf
Lakshmipur,FY2020-21,445.9,report_june2025.pdf
Lalmonirhat,FY2020-21,16.9,report_june2025.pdf
Madaripur,FY2020-21,254.2,report_june2025.pdf
Magura,FY2020-21,53.5,report_june2025.pdf
Manikganj,FY2020-21,307.4,report_june2025.pdf
Meherpur,FY2020-21,86.5,report_june2025.pdf
Moulvibazar,FY2020-21,469.8,report_june2025.pdf
Munshiganj,FY2020-21,454.6,report_june2025.pdf
Mymensingh,FY2020-21,303.1,report_june2025.pdf
Naogaon,FY2020-21,125.3,report_june2025.pdf
Narail,FY2020-21,57.8,report_june2025.pdf
Narayanganj,FY2020-21,497.6,report_june2025.pdf
Narsingdi,FY2020-21,409.5,report_june2025.pdf
Natore,FY2020-21,66.7,report_june2025.pdf
Netrokona,FY2020-21,66.3,report_june2025.pdf
Nilphamari,FY2020-21,78.4,report_june2025.pdf
Noakhali,FY2020-21,723.1,report_june2025.pdf
Pabna,FY2020-21,187.9,report_june2025.pdf
Panchagarh,FY2020-21,21.8,report_june2025.pdf
Patuakhali,FY2020-21,77.6,report_june2025.pdf
Pirojpur,FY2020-21,104.3,report_june2025.pdf
Rajbari,FY2020-21,95.7,report_june2025.pdf
Rajshahi,FY2020-21,123.9,report_june2025.pdf
Rangamati,FY2020-21,29.6,report_june2025.pdf
Rangpur,FY2020-21,91.0,report_june2025.pdf
Satkhira,FY2020-21,119.7,report_june2025.pdf
Shariatpur,FY2020-21,222.0,report_june2025.pdf
Sherpur,FY2020-21,36.8,report_june2025.pdf
Sirajganj,FY2020-21,134.5,report_june2025.pdf
Sunamganj,FY2020-21,292.9,report_june2025.pdf
Sylhet,FY2020-21,1372.7,report_june2025.pdf
Tangail,FY2020-21,534.1,report_june2025.pdf
Thakurgaon,FY2020-21,28.5,report_june2025.pdf
Bagerhat,FY2021-22,60.1,report_june2025.pdf
Bandarban,FY2021-22,16.2,report_june2025.pdf
Barguna,FY2021-22,52.6,report_june2025.pdf
Barisal,FY2021-22,222.1,report_june2025.pdf
Bhola,FY2021-22,87.9,report_june2025.pdf
Bogura,FY2021-22,186.4,report_june2025.pdf
Brahmanbaria,FY2021-22,688.9,report_june2025.pdf
Chandpur,FY2021-22,516.5,report_june2025.pdf
Chapainawabganj,FY2021-22,91.4,report_june2025.pdf
Chattogram,FY2021-22,1218.9,report_june2025.pdf
Chuadanga,FY2021-22,65.9,report_june2025.pdf
Comilla,FY2021-22,1195.6,report_june2025.pdf
Coxsbazar,FY2021-22,170.8,report_june2025.pdf
Dhaka,FY2021-22,6367.0,report_june2025.pdf
Dinajpur,FY2021-22,297.7,report_june2025.pdf
Faridpur,FY2021-22,307.0,report_june2025.pdf
Feni,FY2021-22,513.8,report_june2025.pdf
Gaibandha,FY2021-22,90.3,report_june2025.pdf
Gazipur,FY2021-22,408.0,report_june2025.pdf
Gopalganj,FY2021-22,93.2,report_june2025.pdf
Habiganj,FY2021-22,283.0,report_june2025.pdf
Jamalpur,FY2021-22,151.7,report_june2025.pdf
Jashore,FY2021-22,199.8,report_june2025.pdf
Jhalokati,FY2021-22,40.4,report_june2025.pdf
Jhenaidah,FY2021-22,76.0,report_june2025.pdf
Joypurhat,FY2021-22,47.5,report_june2025.pdf
