Names of Unit,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,RC Arms Act,RC Explosive Act,RC Narcotics,RC Smuggling,Date
Rangpur Range,1.0,2.0,26,3,0.0,217.0,3,0,15,83.0,734.0,1.0,0,499.0,37.0,Jul-20
Ralway Range,0.0,0.0,1,0,0.0,0.0,0,0,0,5.0,9.0,0.0,0,13.0,3.0,Jul-20
DMP,1.0,13.0,20,10,0.0,222.0,4,2,65,89.0,443.0,8.0,1,978.0,5.0,Aug-20
CMP,0.0,4.0,3,10,0.0,105.0,0,1,13,13.0,121.0,20.0,0,149.0,2.0,Aug-20
KMP,0.0,1.0,4,1,0.0,9.0,1,1,4,9.0,29.0,2.0,0,119.0,0.0,Aug-20
RMP,0.0,5.0,1,0,0.0,27.0,1,0,9,10.0,58.0,0.0,0,157.0,14.0,Aug-20
BMP,0.0,1.0,0,3,0.0,16.0,0,0,6,12.0,38.0,3.0,0,43.0,0.0,Aug-20
SMP,1.0,3.0,2,6,0.0,17.0,0,1,3,9.0,61.0,2.0,0,48.0,4.0,Aug-20
RPMP,0.0,1.0,0,3,0.0,26.0,6,0,0,15.0,68.0,0.0,0,37.0,0.0,Aug-20
GMP,1.0,1.0,6,3,0.0,57.0,5,0,5,16.0,89.0,2.0,0,118.0,0.0,Aug-20
Dhaka Range,12.0,17.0,76,11,1.0,318.0,11,4,32,59.0,1036.0,15.0,4,712.0,12.0,Aug-20
Mymensingh Range,0.0,2.0,21,10,0.0,195.0,1,0,11,28.0,590.0,2.0,0,264.0,7.0,Aug-20
Chittagong Range,6.0,10.0,58,10,0.0,233.0,9,5,53,85.0,1015.0,14.0,1,748.0,13.0,Aug-20
Sylhet Range,2.0,3.0,22,2,0.0,88.0,0,3,7,42.0,410.0,3.0,0,210.0,32.0,Aug-20
Khulna Range,3.0,8.0,29,2,0.0,212.0,5,2,15,63.0,613.0,4.0,1,517.0,28.0,Aug-20
Barishal Range,1.0,3.0,13,9,0.0,141.0,1,2,13,21.0,429.0,3.0,0,210.0,0.0,Aug-20
Rajshahi Range,1.0,9.0,33,7,0.0,342.0,3,3,9,44.0,584.0,12.0,4,938.0,94.0,Aug-20
Rangpur Range,0.0,3.0,33,4,0.0,304.0,2,0,13,68.0,901.0,0.0,0,314.0,33.0,Aug-20
Ralway Range,0.0,0.0,1,0,0.0,1.0,0,0,0,1.0,4.0,0.0,0,13.0,2.0,Aug-20
DMP,2.0,26.0,22,9,0.0,214.0,8,4,60,126.0,559.0,11.0,2,1438.0,6.0,Sep-20
CMP,0.0,10.0,5,9,0.0,73.0,0,3,16,25.0,168.0,39.0,1,220.0,2.0,Sep-20
