date,plant,producer,units,installed_mw,present_mw,peak_mw,energy_kwh,remarks
2024-12-31,Shahjahanulla 25 MW PP,"SIPP,REB",3*9.34,28.02,25.0,13.0,349344.0,Default availability set by nldc
2024-12-31,Shahjibazar 100 MW GTPP,PDB,1*100,100.0,100.0,0.0,0.0,Default availability set by nldc
2024-12-31,Shahjibazar 86MW PP (Shahjibazar),RPP,32*2.90,92.8,86.0,56.0,920640.0,-
2024-12-31,Shahjibazar GTPP Unit- 8 & 9,PDB,2*35,70.0,66.0,25.0,577440.0,Default availability set by nldc
2024-12-31,Shajibazar 330 MW CCPP,PDB,3*110,330.0,330.0,0.0,0.0,Default availability set by nldc
2024-12-31,Siddhirganj 335 MW CCPP,EGCB,1*217+118,217.0,335.0,230.0,5025711.0,-
2024-12-31,Siddhirgonj 2*120 MW GTPP,EGCB,2*105,210.0,210.0,0.0,0.0,-
2024-12-31,Siddhirgonj 210 MW TPP,PDB,1*210,210.0,115.0,0.0,0.0,Default availability set by nldc
2024-12-31,Sikalbaha 105 MW PP (Baraka Sikalbaha),IPP,6*17.5,105.0,105.0,0.0,0.0,Bill delay and high diff. of USD exchange rate
2024-12-31,Sikalbaha 225MW CCPP,PDB,1*150+1*75,225.0,225.0,227.0,5242709.0,Default availability set by nldc
2024-12-31,Sikalbaha Peaking GT,PDB,1*150,150.0,150.0,0.0,0.0,Default availability set by nldc
2024-12-31,Sirajganj 68 MW Solar Park,IPP,0,0.0,68.0,0.0,126748.0,Default availability set by nldc
2024-12-31,Sirajgonj 225MW CCPP Unit-1,NWPGCL,1*150+1*75,225.0,214.0,168.0,3920455.0,Gas shortage
2024-12-31,Sirajgonj 225MW CCPP Unit-2,NWPGCL,1*150+1*75,225.0,220.0,206.0,4059755.0,Gas shortage
2024-12-31,Sirajgonj 225MW CCPP Unit-3,NWPGCL,1*141,141.0,220.0,187.0,4128555.0,Gas shortage
2024-12-31,Sirajgonj 400 MW CCPP Unit-4,NWPGCL,1*282+1*132,414.0,414.0,0.0,0.0,Default availability set by nldc
2024-12-31,Sirajgonj 6.55 MW Solar,NWPGCL,0,0.0,6.09,0.0,12060.0,Default availability set by nldc
2024-12-31,Sonagazi 75 MW (AC) Solar Power Plant,EGCB,0,0.0,75.0,0.0,393091.0,Default availability set by nldc
2024-12-31,Spectra Solar Plant Ltd.,IPP,0,0.0,35.0,0.0,158482.0,Default availability set by nldc
2024-12-31,Sreepur 150 MW PP,PDB-RPCL,9*18,162.0,150.0,0.0,0.0,Default availability set by nldc
2024-12-31,Summit Power Ashulia,IPP,0,0.0,33.75,19.0,411600.0,Low gas pressure
